,PICARD_PCT,RIKER_PCT,DATA_PCT,WORF_PCT,TROI_PCT,BEVERLY_PCT,GEORDI_PCT,Q_PCT,LORE_PCT,WESLEY_PCT,GUINAN_PCT,TASHA_PCT,PULASKI_PCT,RATING
148,10.45,9.8,42.78,1.22,0.8,7.72,27.23,0.0,0.0,0.0,0.0,0.0,0.0,7.400000000000051
149,17.49,39.75,29.35,5.09,0.45,0.0,4.5,0.0,0.0,1.14,0.0,0.0,2.23,6.5
150,24.86,8.63,34.31,4.37,8.67,0.0,4.67,0.0,0.0,2.44,3.1,0.0,8.95,7.0
151,44.79,18.27,9.67,8.34,6.73,6.81,2.61,0.0,0.0,2.78,0.0,0.0,0.0,7.59999999999995
152,29.53,32.23,13.04,2.95,2.51,14.96,0.74,0.0,0.0,4.04,0.0,0.0,0.0,6.5
153,68.24,8.96,10.69,6.86,0.77,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,8.199999999999955
154,0.22,15.03,44.92,2.2,24.31,11.66,1.65,0.0,0.0,0.0,0.0,0.0,0.0,7.800000000000025
155,35.4,20.23,6.56,5.26,6.66,0.0,13.22,0.0,0.0,0.0,0.0,0.0,12.67,7.5
156,15.31,8.04,41.82,2.03,5.88,0.95,16.35,0.0,0.0,0.0,9.61,0.0,0.0,8.400000000000057
157,16.11,21.56,12.55,5.05,7.33,10.82,14.23,0.0,0.0,0.0,12.34,0.0,0.0,8.300268096514786
158,29.16,2.63,32.16,0.0,15.58,0.32,20.15,0.0,0.0,0.0,0.0,0.0,0.0,8.599999999999948
159,29.7,9.9,22.91,6.62,14.22,3.75,10.71,0.0,0.0,2.2,0.0,0.0,0.0,7.300000000000013
160,53.25,7.26,4.64,0.12,7.23,23.03,2.32,0.0,0.0,0.0,0.0,2.16,0.0,6.099999999999959
161,25.75,5.14,11.07,5.66,1.49,34.15,15.03,0.0,0.0,1.7,0.0,0.0,0.0,6.900000000000044
162,23.9,8.27,5.41,0.68,3.81,17.41,7.68,32.83,0.0,0.0,0.0,0.0,0.0,7.5
163,42.47,18.68,20.13,6.99,1.61,2.76,7.36,0.0,0.0,0.0,0.0,0.0,0.0,8.199999999999946
164,36.92,23.19,23.49,8.03,1.88,1.93,4.56,0.0,0.0,0.0,0.0,0.0,0.0,8.300000000000047
165,31.0,18.08,10.77,9.53,2.95,0.0,4.33,0.0,0.0,0.0,0.0,0.0,23.35,6.300000000000019
166,28.59,12.21,7.54,1.63,11.82,17.73,20.49,0.0,0.0,0.0,0.0,0.0,0.0,6.300000000000005
167,42.38,9.6,21.38,4.21,6.84,11.09,4.5,0.0,0.0,0.0,0.0,0.0,0.0,6.599999999999951
168,36.76,15.83,6.66,1.41,1.56,12.17,2.54,0.0,0.0,21.62,0.0,1.45,0.0,6.30000000000003
169,51.45,21.09,5.34,1.31,4.77,2.86,4.65,0.0,0.0,6.12,0.0,2.41,0.0,7.599999999999953
170,37.55,21.17,15.73,7.68,4.04,0.0,3.7,0.0,0.0,4.32,0.0,0.0,5.81,7.099999999999949
171,53.13,15.88,7.91,1.87,10.37,8.08,2.75,0.0,0.0,0.0,0.0,0.0,0.0,8.0
172,32.08,11.13,11.53,1.77,0.0,2.88,4.77,0.0,0.0,3.14,10.5,22.2,0.0,9.09999999999994
